stone_name,color_name
C1,Branco_Lusitania
C2,Branco_Lusitania
C3,Branco_Lusitania
C4,Branco_Lusitania
C5,Branco_Lusitania
C6,Rosal_Real
C7,Rosal_Real
C8,Rosal_Real
C9,Rosal_Real
C10,Rosal_Real
C11,Rosal_Real
C12,Rosal_Real
C13,Rosal_Real
C14,Rosal_Real
C15,Rosal_Real
C16,Rosal_Real
C17,Rosal_Real
C18,Rosal_Real
C19,Rosal_Real
C20,Rosal_Real
C21,Rosal_Real
C22,Rosal_Real
C23,Rosal_Real
C24,Rosal_Real
C25,Rosal_Real
C26,Rosal_Real
C27,Branco_Lusitania
C28,Branco_Lusitania
C29,Branco_Lusitania
C30,Branco_Lusitania
C31,Branco_Lusitania
C32,Branco_Lusitania
C33,Branco_Lusitania
C34,Branco_Lusitania
C35,Branco_Lusitania
C36,Branco_Lusitania
C37,Branco_Lusitania
C38,Branco_Lusitania
C39,Branco_Lusitania
C40,Branco_Lusitania
C41,Branco_Lusitania
C42,Branco_Lusitania
C43,Branco_Lusitania
C44,Branco_Lusitania
C45,Rosal_Real
C46,Rosal_Real
C47,Rosal_Real
C48,Rosal_Real
C49,Rosal_Real
C50,Rosal_Real
C51,Rosal_Real
C52,Rosal_Real
C53,Rosal_Real
C54,Rosal_Real
C55,Rosal_Real
C56,Rosal_Real
C57,Rosal_Real
C58,Rosal_Real
C59,Rosal_Real
C60,Rosal_Real
C61,Rosal_Real
C62,Rosal_Real
C63,Rosal_Real
C64,Rosal_Real
C65,Rosal_Real
C66,Rosal_Real
C67,Rosal_Real
C68,Rosal_Real
C69,Rosal_Real
C70,Rosal_Real
C71,Rosal_Real
C72,Rosal_Real
C73,Rosal_Real
C74,Rosal_Real
C75,Rosal_Real
C76,Rosal_Real
C77,Rosal_Real
C78,Rosal_Real
C79,Rosal_Real
C80,Rosal_Real
CP1,Branco_Lusitania
CP2,Branco_Lusitania
CP3,Branco_Lusitania
CP4,Branco_Lusitania
CP5,Branco_Lusitania
CP6,Branco_Lusitania
CP7,Branco_Lusitania
CP8,Branco_Lusitania
CP9,Branco_Lusitania
CP10,Branco_Lusitania
CP11,Rosal_Real
CP12,Rosal_Real
CP13,Rosal_Real
CP14,Rosal_Real
CP15,Rosal_Real
CP16,Rosal_Real
CP17,Rosal_Real
CP18,Rosal_Real
CP19,Rosal_Real
CP20,Rosal_Real
CP21,Rosal_Real
CP22,Rosal_Real
CP23,Rosal_Real
CP24,Rosal_Real
CP25,Rosal_Real
